interaction_id,disease_id,molecule_a,molecule_b,identifier_a,identifier_b,species_a,species_b,host_organism,positive_interaction,detection_method,interaction_type,confidence_value
1078,1,MAPT,SON,UniProtP10636,UniProtP18583,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1079,1,MAPT,SPAG5,UniProtP10636-8,UniProtQ96R06,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1080,1,MAPT,SPTAN1,UniProtP10636,UniProtQ13813,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1081,1,MAPT,SPTBN4,UniProtP10636,UniProtQ9H254,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1082,1,MAPT,SQSTM1,UniProtP10636-8,UniProtQ13501,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1083,1,MAPT,SRP14,UniProtP10636,UniProtP37108,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1084,1,MAPT,SRRM1,UniProtP10636-8,UniProtQ8IYB3,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1085,1,MAPT,SRRM2,UniProtP10636-8,UniProtQ9UQ35,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1086,1,MAPT,SRRM2,UniProtP10636-8,UniProtQ9UQ35,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1087,1,MAPT,SRRM2,UniProtP10636-8,UniProtQ9UQ35,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1088,1,MAPT,SRSF7,UniProtP10636-8,UniProtQ16629-3,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1089,1,MAPT,STAU1,UniProtP10636-8,UniProtO95793,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1090,1,MAPT,STAU1,UniProtP10636-8,UniProtO95793,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1091,1,MAPT,STK24,UniProtP10636-8,UniProtQ9Y6E0,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1092,1,MAPT,STOM,UniProtP10636,UniProtP27105,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1093,1,MAPT,STXBP1,UniProtP10636-8,UniProtA0A0D9SG72,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1094,1,MAPT,SYN1,UniProtP10636,UniProtP17600,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1095,1,MAPT,SYNGR1,UniProtP10636-8,UniProtB5MCD7,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1096,1,MAPT,SYNJ1,UniProtP10636,UniProtO43426,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1097,1,MAPT,TCEA1,UniProtP10636-8,UniProtP23193,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1098,1,MAPT,TCEA1,UniProtP10636-8,UniProtP23193,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1099,1,MAPT,TCERG1,UniProtP10636-8,UniProtO14776,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1100,1,MAPT,TCF25,UniProtP10636-8,UniProtQ9BQ70,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1101,1,MAPT,TET2,UniProtP10636,UniProtQ6N021,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1102,1,MAPT,TF,UniProtP10636,UniProtP02787,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1103,1,MAPT,THYN1,UniProtP10636-8,UniProtQ9P016,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1104,1,MAPT,THYN1,UniProtP10636-8,UniProtQ9P016,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1105,1,MAPT,TLE4,UniProtP10636-8,UniProtQ04727,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1106,1,MAPT,TNC,UniProtP10636,UniProtP24821,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1107,1,MAPT,TNRC6C,UniProtP10636-8,UniProtQ9HCJ0,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1108,1,MAPT,TP53BP1,UniProtP10636,UniProtQ12888,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1109,1,MAPT,TRAP1,UniProtP10636,UniProtQ12931,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1110,1,MAPT,TSG101,UniProtP10636-8,UniProtQ99816,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1111,1,MAPT,TSG101,UniProtP10636-8,UniProtQ99816,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1112,1,MAPT,TSG101,UniProtP10636-8,UniProtQ99816,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1113,1,MAPT,TUBGCP5,UniProtP10636-8,UniProtQ96RT8,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1114,1,MAPT,UBA1,UniProtP10636-8,UniProtP22314-2,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1115,1,MAPT,UBA52,UniProtP10636-8,UniProtM0R2S1,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1116,1,MAPT,UBC,UniProtP10636-8,UniProtF5H265,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1117,1,MAPT,USH2A,UniProtP10636,UniProtO75445,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1118,1,MAPT,USP5,UniProtP10636-8,UniProtP45974-2,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1119,1,MAPT,VAMP2,UniProtP10636-8,UniProtK7ENK9,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1120,1,MAPT,VARS1,UniProtP10636-8,UniProtP26640,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1121,1,MAPT,VARS1,UniProtP10636-8,UniProtP26640,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1122,1,MAPT,VDAC2,UniProtP10636-8,UniProtA0A0A0MR02,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1123,1,MAPT,VGF,UniProtP10636-8,UniProtO15240,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1124,1,MAPT,VPS4A,UniProtP10636-8,UniProtQ9UN37,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1125,1,MAPT,WDR11,UniProtP10636-8,UniProtQ9BZH6,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1126,1,MAPT,WDR26,UniProtP10636-8,UniProtQ9H7D7-2,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1127,1,MAPT,WDR87,UniProtP10636,UniProtQ6ZQQ6,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1128,1,MAPT,WDR87,UniProtP10636,UniProtQ6ZQQ6,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1129,1,MAPT,YBX2,UniProtP10636-8,UniProtQ9Y2T7,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1130,1,MAPT,YBX3,UniProtP10636-8,UniProtP16989,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1131,1,MAPT,yd022_human,UniProtP10636,UniProtQ6ZS92,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1132,1,MAPT,YTHDF2,UniProtP10636-8,UniProtQ9Y5A9,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1133,1,MAPT,YTHDF2,UniProtP10636-8,UniProtQ9Y5A9,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1134,1,MAPT,YWHAB,UniProtP10636,UniProtP31946,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1135,1,MAPT,YWHAB,UniProtP10636,UniProtP31946,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1136,1,MAPT,YWHAB,UniProtP10636-8,UniProtP31946-2,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1137,1,MAPT,ZC3H14,UniProtP10636-8,UniProtQ6PJT7,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1138,1,MAPT,ZNF142,UniProtP10636,UniProtP52746,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1139,1,MAPT,ZNF365,UniProtP10636-8,UniProtQ70YC5,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1140,1,MAPT,ZNF532,UniProtP10636,UniProtQ9HCE3,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1141,1,MAPT,ZSCAN18,UniProtP10636-8,UniProtQ8TBC5,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.35
1142,1,MAPT,ZW10,UniProtP10636,UniProtO43264,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1143,1,P05067-PRO_0000000090,Gsk3a,UniProtP05067-PRO_0000000090,UniProtQ2NL51,Homo sapiens,Mus musculus,Mouse neuroblastoma cells,1,anti bait coip,association,0.35
1144,1,P05067-PRO_0000000090,Gsk3b,UniProtP05067-PRO_0000000090,UniProtQ9WV60,Homo sapiens,Mus musculus,Mouse neuroblastoma cells,1,anti bait coip,association,0.35
1145,1,PRNP,ALDOA,UniProtP04156,UniProtP04075,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1146,1,PRNP,ALDOA,UniProtP04156,UniProtP04075,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1147,1,PRNP,H2BC3,UniProtP04156,UniProtP33778,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1148,1,PRNP,LYZ,UniProtP04156,UniProtP61626,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1149,1,PRNP,LYZ,UniProtP04156,UniProtP61626,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1150,1,PRNP,MBP,UniProtP04156,UniProtP02686,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1151,1,PRNP,MBP,UniProtP04156,UniProtP02686,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1152,1,PRNP,PLP1,UniProtP04156,UniProtP60201,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1153,1,PRNP,PLP1,UniProtP04156,UniProtP60201,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1154,1,PRNP,PLP1,UniProtP04156,UniProtP60201,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1155,1,PRNP,PMP2,UniProtP04156,UniProtP02689,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1156,1,PRNP,q53em5_human,UniProtP04156,UniProtQ53EM5,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1157,1,PRNP,q53em5_human,UniProtP04156,UniProtQ53EM5,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1158,1,PRNP,RIDA,UniProtP04156,UniProtP52758,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1159,1,PRNP,RIDA,UniProtP04156,UniProtP52758,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1160,1,PRNP,SYN1,UniProtP04156,UniProtP17600,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1161,1,PRNP,SYN1,UniProtP04156,UniProtP17600,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1162,1,PRNP,SYN1,UniProtP04156,UniProtP17600,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1163,1,PRNP,SYNJ1,UniProtP04156,UniProtO43426,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1164,1,PRNP,TUBB2C,UniProtP04156,UniProtQ8IZ29,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.35
1165,1,Q15078-PRO_0000004794,Camk2a,UniProtQ15078-PRO_0000004794,UniProtP11798,Homo sapiens,Mus musculus,Mouse hippocampal neurons,1,anti bait coip,association,0.35
1166,1,Q15078-PRO_0000004794,Capn1,UniProtQ15078-PRO_0000004794,UniProtO35350,Homo sapiens,Mus musculus,Mouse hippocampal neurons,1,anti bait coip,association,0.35
1167,1,Q15078-PRO_0000004794,Cdk5,UniProtQ15078-PRO_0000004794,UniProtP49615,Homo sapiens,Mus musculus,Mouse hippocampal neurons,1,anti bait coip,association,0.35
1168,1,Q15078-PRO_0000004794,Grin2b,UniProtQ15078-PRO_0000004794,UniProtQ01097,Homo sapiens,Mus musculus,Mouse hippocampal neurons,1,anti bait coip,association,0.35
1169,1,SLC2A3,NCSTN,UniProtP11169,UniProtQ92542,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1170,1,STXBP1,NCSTN,UniProtP61764,UniProtQ92542,Homo sapiens,Homo sapiens,Homo sapiens brain,1,anti bait coip,association,0.35
1171,1,Anxa2,MAPT,UniProtQ07936,UniProtP10636-8,Rattus norvegicus (Rat),Homo sapiens,Rattus norvegicus PC12 cells,1,fluorescence imaging,colocalization,0.27
1172,1,APP,BACE1,UniProtP05067-4,UniProtP56817,Homo sapiens,Homo sapiens,Mouse neuroblastoma cells,1,fret,proximity,0.27
1173,1,APP,Cryab,UniProtP05067,UniProtP23927,Homo sapiens,Mus musculus,Mus musculus brain,1,fluorescence imaging,colocalization,0.27
1174,1,Arc,APP,UniProtQ63053,UniProtP05067-4,Rattus norvegicus (Rat),Homo sapiens,Rattus norvegicus neuronal cell,1,fluorescence imaging,colocalization,0.27
1175,1,Arc,PSEN1,UniProtQ63053,UniProtP49768,Rattus norvegicus (Rat),Homo sapiens,Rattus norvegicus neuronal cell,1,fluorescence imaging,colocalization,0.27
1176,1,Cluh,DSCR9,UniProtQ5SW19,UniProtP59020,Mus musculus,Homo sapiens,Mouse cerebral cortical neuron,1,pla,proximity,0.27
1177,1,DYRK1A,Drosha,UniProtQ13627,UniProtQ5HZJ0,Homo sapiens,Mus musculus,Mouse cerebral cortical neuron,1,pla,proximity,0.27
1178,1,GPR3,App,UniProtP46089,UniProtP08592,Homo sapiens,Rattus norvegicus (Rat),Rattus norvegicus neuronal cell,1,confocal microscopy,colocalization,0.27
1179,1,MAPT,MARK1,UniProtP10636,UniProtQ9P0L2,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,pla,proximity,0.27
1180,1,MAPT,MARK4,UniProtP10636,UniProtQ96L34,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,pla,proximity,0.27
1181,1,MARK3,MAPT,UniProtP27448,UniProtP10636,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,pla,proximity,0.27
1182,1,MSI1,MAPT,UniProtO43347,UniProtP10636,Homo sapiens,Homo sapiens,Homo sapiens brain,1,fluorescence imaging,colocalization,0.27
1183,1,MSI2,MAPT,UniProtQ96DH6,UniProtP10636,Homo sapiens,Homo sapiens,Homo sapiens brain,1,fluorescence imaging,colocalization,0.27
1184,1,RIN3,Bin1,UniProtQ8TB24,UniProtO08839,Homo sapiens,Rattus norvegicus (Rat),Rattus norvegicus PC12 cells,1,confocal microscopy,colocalization,0.27
1185,1,RIN3,Bin1,UniProtQ8TB24,UniProtO08539,Homo sapiens,Mus musculus,Mus musculus neuronal cell,1,confocal microscopy,colocalization,0.27
1186,1,RIN3,Cd2ap,UniProtQ8TB24,UniProtF1LRS8,Homo sapiens,Rattus norvegicus (Rat),Rattus norvegicus PC12 cells,1,confocal microscopy,colocalization,0.27
1187,1,RIN3,Cd2ap,UniProtQ8TB24,UniProtQ9JLQ0,Homo sapiens,Mus musculus,Mus musculus neuronal cell,1,confocal microscopy,colocalization,0.27
1188,1,TMEFF2,P05067-PRO_0000000093,UniProtQ9UIK5,UniProtP05067-PRO_0000000093,Homo sapiens,Homo sapiens,Homo sapiens MC65 neuroblastoma cell,1,confocal microscopy,colocalization,0.27
1189,2,SNCA,SNCA,UniProtP37840,UniProtP37840,Homo sapiens,Homo sapiens,Homo sapiens H4 neurogioma cell,1,bifc,physical association,0.99
1190,2,SNCA,SNCA,UniProtP37840,UniProtP37840,Homo sapiens,Homo sapiens,In vitro,1,comig non denat gel,physical association,0.99
1191,2,CREBBP,TP53,UniProtQ92793,UniProtP04637,Homo sapiens,Homo sapiens,In vitro,1,pull down,physical association,0.96
1192,2,HTT,HTT,UniProtP42858,UniProtP42858,Homo sapiens,Homo sapiens,Homo sapiens H4 neurogioma cell,1,bifc,physical association,0.89
1193,2,HTT,HTT,UniProtP42858,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,comig non denat gel,physical association,0.89
1194,2,HTT,OPTN,UniProtP42858,UniProtQ96CV9,Homo sapiens,Homo sapiens,In vitro,1,pull down,direct interaction,0.82
1195,2,ZDHHC17,HTT,UniProtQ8IUH5,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,enzymatic study,palmitoylation,0.81
1196,2,SH3GL2,ATXN2,UniProtQ99962,UniProtQ99700,Homo sapiens,Homo sapiens,In vitro,1,anti tag coip,physical association,0.78
1197,2,HTT,DYNC1H1,UniProtP42858,UniProtQ14204,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.77
1198,2,ATXN2,SH3GL3,UniProtQ99700,UniProtQ99963,Homo sapiens,Homo sapiens,In vitro,1,anti tag coip,physical association,0.76
1199,2,HTT,EEF1D,UniProtP42858,UniProtP29692,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.74
1200,2,HTT,EEF1D,UniProtP42858,UniProtP29692,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.74
1201,2,HTT,PRPF40A,UniProtP42858,UniProtO75400,Homo sapiens,Homo sapiens,In vitro,1,pull down,direct interaction,0.74
1202,2,HTT,PRPF40A,UniProtP42858,UniProtO75400,Homo sapiens,Homo sapiens,In vitro,1,nmr,direct interaction,0.74
1203,2,HTT,PRPF40A,UniProtP42858,UniProtO75400,Homo sapiens,Homo sapiens,In vitro,1,nmr,direct interaction,0.74
1204,2,HTT,PRPF40A,UniProtP42858,UniProtO75400,Homo sapiens,Homo sapiens,In vitro,1,nmr,direct interaction,0.74
1205,2,HTT,PRPF40A,UniProtP42858,UniProtO75400,Homo sapiens,Homo sapiens,In vitro,1,nmr,direct interaction,0.74
1206,2,HTT,SH3GL3,UniProtP42858,UniProtQ99963,Homo sapiens,Homo sapiens,In vitro,1,nmr,direct interaction,0.74
1207,2,HTT,SH3GL3,UniProtP42858,UniProtQ99963,Homo sapiens,Homo sapiens,In vitro,1,nmr,direct interaction,0.74
1208,2,HTT,SH3GL3,UniProtP42858,UniProtQ99963,Homo sapiens,Homo sapiens,In vitro,1,nmr,direct interaction,0.74
1209,2,PRPF40A,HTT,UniProtO75400,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,pull down,direct interaction,0.74
1210,2,PRPF40A,HTT,UniProtO75400,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,nmr,direct interaction,0.74
1211,2,PRPF40A,HTT,UniProtO75400,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,nmr,direct interaction,0.74
1212,2,PRPF40A,HTT,UniProtO75400,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,nmr,direct interaction,0.74
1213,2,SFPQ,NONO,UniProtP23246,UniProtQ15233,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,pla,proximity,0.74
1214,2,SH3GL3,HTT,UniProtQ99963,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,pull down,direct interaction,0.74
1215,2,SH3GL3,HTT,UniProtQ99963,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,nmr,direct interaction,0.74
1216,2,FEZ1,HTT,UniProtQ99689,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,pull down,physical association,0.72
1217,2,HAP1,HTT,UniProtP54257-2,UniProtP42858,Homo sapiens,Homo sapiens,Rat cortical Neurons,1,fluorescence imaging,colocalization,0.71
1218,2,TP53,HTT,UniProtP04637,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,pull down,physical association,0.71
1219,2,ATXN1,SKP1,UniProtP54253,UniProtP63208,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,association,0.7
1220,2,ATXN1,TBL1XR1,UniProtP54253,UniProtQ9BZK7,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,association,0.7
1221,2,CRMP1,HTT,UniProtQ14194,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,pull down,physical association,0.7
1222,2,MED31,HTT,UniProtQ9Y3C7,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,pull down,physical association,0.7
1223,2,PFN2,HTT,UniProtP35080,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,pull down,physical association,0.7
1224,2,PIAS4,HTT,UniProtQ8N2W9,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,pull down,physical association,0.7
1225,2,XRCC6,HTT,UniProtP12956,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,pull down,physical association,0.7
1226,2,HNRNPC,HTT,UniProtP07910,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,pull down,physical association,0.68
1227,2,HTT,Hap1,UniProtP42858,UniProtP54256,Homo sapiens,Rattus norvegicus (Rat),In vitro,1,pull down,physical association,0.68
1228,2,SIN3A,HTT,UniProtQ96ST3,UniProtP42858,Homo sapiens,Homo sapiens,In vitro,1,pull down,physical association,0.68
1229,2,HTT,BCAP31,UniProtP42858,UniProtP51572,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1230,2,HTT,CCT6A,UniProtP42858,UniProtP40227,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1231,2,HTT,CCT8,UniProtP42858,UniProtP50990,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1232,2,HTT,CD59,UniProtP42858,UniProtP13987,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1233,2,HTT,CHCHD2,UniProtP42858,UniProtQ9Y6H1,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1234,2,HTT,CNP,UniProtP42858,UniProtP09543,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1235,2,HTT,COX5B,UniProtP42858,UniProtP10606,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1236,2,HTT,COX6A1,UniProtP42858,UniProtP12074,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1237,2,HTT,COX6C,UniProtP42858,UniProtP09669,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1238,2,HTT,CYC1,UniProtP42858,UniProtP08574,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1239,2,HTT,ENO1,UniProtP42858,UniProtP06733,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1240,2,HTT,GFAP,UniProtP42858,UniProtP14136,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1241,2,HTT,GNAO1,UniProtP42858,UniProtP09471,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1242,2,HTT,GNB1,UniProtP42858,UniProtP62873,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1243,2,HTT,GNB2,UniProtP42858,UniProtP62879,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1244,2,HTT,GPM6A,UniProtP42858,UniProtP51674,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1245,2,HTT,LANCL1,UniProtP42858,UniProtO43813,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1246,2,HTT,NDUFA13,UniProtP42858,UniProtQ9P0J0,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1247,2,HTT,NDUFA9,UniProtP42858,UniProtQ16795,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1248,2,HTT,NDUFB10,UniProtP42858,UniProtO96000,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1249,2,HTT,NDUFB9,UniProtP42858,UniProtQ9Y6M9,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1250,2,HTT,NDUFS5,UniProtP42858,UniProtO43920,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1251,2,HTT,PRNP,UniProtP42858,UniProtP04156,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1252,2,HTT,STXBP1,UniProtP42858,UniProtP61764,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1253,2,HTT,SYP,UniProtP42858,UniProtP08247,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1254,2,HTT,SYT2,UniProtP42858,UniProtQ8N9I0,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1255,2,HTT,VDAC2,UniProtP42858,UniProtP45880,Homo sapiens,Homo sapiens,In vitro,1,pull down,association,0.67
1256,2,pi3p,RHOG,ChEBICHEBI:17283,UniProtP84095,Chemical synthesis (Chemical synthesis),Homo sapiens,In vitro,1,pull down,association,0.66
1257,2,DCTN1,Hap1,UniProtQ14203,UniProtP54256,Homo sapiens,Rattus norvegicus (Rat),In vitro,1,pull down,physical association,0.65
1258,2,DCTN1,Hap1,UniProtQ14203,UniProtP54256,Homo sapiens,Rattus norvegicus (Rat),In vitro,1,pull down,physical association,0.65
1259,2,DNM1L,ATAD3A,UniProtO00429,UniProtQ9NVI7-2,Homo sapiens,Homo sapiens,In vitro,1,anti tag coip,direct interaction,0.65
