interactor_id,disease_id,accession,name,preferred_id,type,species,description
581,1,EBI-355410,CCAR2,UniProtQ8N163,protein,Homo sapiens,Cell cycle and apoptosis regulator protein 2
582,1,EBI-2555881,AHNAK,UniProtQ09666,protein,Homo sapiens,Neuroblast differentiation-associated protein AHNAK
583,1,EBI-1171303,AP1B1,UniProtQ10567,protein,Homo sapiens,AP-1 complex subunit beta-1
584,1,EBI-357407,CCT2,UniProtP78371,protein,Homo sapiens,T-complex protein 1 subunit beta
585,1,EBI-2514791,HAUS1,UniProtQ96CS2,protein,Homo sapiens,HAUS augmin-like complex subunit 1
586,1,EBI-358474,DDX1,UniProtQ92499,protein,Homo sapiens,ATP-dependent RNA helicase DDX1
587,1,EBI-710124,KDM1A,UniProtO60341,protein,Homo sapiens,Lysine-specific histone demethylase 1A
588,1,EBI-946095,PCBP1,UniProtQ15365,protein,Homo sapiens,Poly(rC)-binding protein 1
589,1,EBI-351590,HNRNPH1,UniProtP31943,protein,Homo sapiens,Heterogeneous nuclear ribonucleoprotein H
590,1,EBI-356173,SMC4,UniProtQ9NTJ3,protein,Homo sapiens,Structural maintenance of chromosomes protein 4
591,1,EBI-1104799,CEP170,UniProtQ5SW79,protein,Homo sapiens,Centrosomal protein of 170 kDa
592,1,EBI-724352,DCTN1,UniProtQ14203,protein,Homo sapiens,Dynactin subunit 1
593,1,EBI-350569,RPS5,UniProtP46782,protein,Homo sapiens,Small ribosomal subunit protein uS7
594,1,EBI-1054923,RAB5C,UniProtP51148,protein,Homo sapiens,Ras-related protein Rab-5C
595,1,EBI-359733,PSMD12,UniProtO00232,protein,Homo sapiens,26S proteasome non-ATPase regulatory subunit 12
596,1,EBI-352783,RPS14,UniProtP62263,protein,Homo sapiens,Small ribosomal subunit protein uS11
597,1,EBI-762451,CAPZA2,UniProtP47755,protein,Homo sapiens,F-actin-capping protein subunit alpha-2
598,1,EBI-297993,SNRPD2,UniProtP62316,protein,Homo sapiens,Small nuclear ribonucleoprotein Sm D2
599,1,EBI-1044112,SND1,UniProtQ7KZF4,protein,Homo sapiens,Staphylococcal nuclease domain-containing protein 1
600,1,EBI-357046,CCT7,UniProtQ99832,protein,Homo sapiens,T-complex protein 1 subunit eta
601,1,EBI-1171169,CLTA,UniProtP09496,protein,Homo sapiens,Clathrin light chain A
602,1,EBI-348469,SF3B4,UniProtQ15427,protein,Homo sapiens,Splicing factor 3B subunit 4
603,1,EBI-352602,MATR3,UniProtP43243,protein,Homo sapiens,Matrin-3
604,1,EBI-297683,AP2M1,UniProtQ96CW1,protein,Homo sapiens,AP-2 complex subunit mu
605,1,EBI-603262,PSMA2,UniProtP25787,protein,Homo sapiens,Proteasome subunit alpha type-2
606,1,EBI-715641,LSM14B,UniProtQ9BX40,protein,Homo sapiens,Protein LSM14 homolog B
607,1,EBI-356498,YWHAE,UniProtP62258,protein,Homo sapiens,14-3-3 protein epsilon
608,1,EBI-353303,RPL23,UniProtP62829,protein,Homo sapiens,Large ribosomal subunit protein uL14
609,1,EBI-352572,HSP90AB1,UniProtP08238,protein,Homo sapiens,Heat shock protein HSP 90-beta
610,1,EBI-354932,HSPA9,UniProtP38646,protein,Homo sapiens,Stress-70 protein; mitochondrial
611,1,EBI-4289961,MARCKSL1,UniProtP49006,protein,Homo sapiens,MARCKS-related protein
612,1,EBI-78139,TRIM28,UniProtQ13263,protein,Homo sapiens,Transcription intermediary factor 1-beta
613,1,EBI-5461341,NELFA,UniProtQ9H3P2,protein,Homo sapiens,Negative elongation factor A
614,1,EBI-1048422,API5,UniProtQ9BZZ5,protein,Homo sapiens,Apoptosis inhibitor 5
615,1,EBI-346882,TSG101,UniProtQ99816,protein,Homo sapiens,Tumor susceptibility gene 101 protein
616,1,EBI-357745,PSMC5,UniProtP62195,protein,Homo sapiens,26S proteasome regulatory subunit 8
617,1,EBI-356673,CCT3,UniProtP49368,protein,Homo sapiens,T-complex protein 1 subunit gamma
618,1,EBI-356658,FASN,UniProtP49327,protein,Homo sapiens,Fatty acid synthase
619,1,EBI-2009923,WDR11,UniProtQ9BZH6,protein,Homo sapiens,WD repeat-containing protein 11
620,1,EBI-356687,CCT6A,UniProtP40227,protein,Homo sapiens,T-complex protein 1 subunit zeta
621,1,EBI-347834,DNAJA1,UniProtP31689,protein,Homo sapiens,DnaJ homolog subfamily A member 1
622,1,EBI-721019,KLC1,UniProtQ07866,protein,Homo sapiens,Kinesin light chain 1
623,1,EBI-2841747,EXOSC6,UniProtQ5RKV6,protein,Homo sapiens,Exosome complex component MTR3
624,1,EBI-286758,KPNB1,UniProtQ14974,protein,Homo sapiens,Importin subunit beta-1
625,1,EBI-73440,EIF4E,UniProtP06730,protein,Homo sapiens,Eukaryotic translation initiation factor 4E
626,1,EBI-359720,PSMC3,UniProtP17980,protein,Homo sapiens,26S proteasome regulatory subunit 6A
627,1,EBI-356553,TCP1,UniProtP17987,protein,Homo sapiens,T-complex protein 1 subunit alpha
628,1,EBI-716185,MYCBP,UniProtQ99417,protein,Homo sapiens,c-Myc-binding protein
629,1,EBI-750990,ETF1,UniProtP62495,protein,Homo sapiens,Eukaryotic peptide chain release factor subunit 1
630,1,EBI-359318,PSMD4,UniProtP55036,protein,Homo sapiens,26S proteasome non-ATPase regulatory subunit 4
631,1,EBI-304185,HNRNPK,UniProtP61978,protein,Homo sapiens,Heterogeneous nuclear ribonucleoprotein K
632,1,EBI-356070,PSMD13,UniProtQ9UNM6,protein,Homo sapiens,26S proteasome non-ATPase regulatory subunit 13
633,1,EBI-352022,DHX9,UniProtQ08211,protein,Homo sapiens,ATP-dependent RNA helicase A
634,1,EBI-347762,UBAP2L,UniProtQ14157,protein,Homo sapiens,Ubiquitin-associated protein 2-like
635,1,EBI-1047080,CAPRIN1,UniProtQ14444,protein,Homo sapiens,Caprin-1
636,1,EBI-372844,PABPC4,UniProtQ13310,protein,Homo sapiens,Polyadenylate-binding protein 4
637,1,EBI-357079,CNOT9,UniProtQ92600,protein,Homo sapiens,CCR4-NOT transcription complex subunit 9
638,1,EBI-354533,RPL22,UniProtP35268,protein,Homo sapiens,Large ribosomal subunit protein eL22
639,1,EBI-350540,PTBP1,UniProtP26599,protein,Homo sapiens,Polypyrimidine tract-binding protein 1
640,1,EBI-1057009,HMGB2,UniProtP26583,protein,Homo sapiens,High mobility group protein B2
641,1,EBI-353027,RPS28,UniProtP62857,protein,Homo sapiens,Small ribosomal subunit protein eS28
642,1,EBI-2878081,YTHDF2,UniProtQ9Y5A9,protein,Homo sapiens,YTH domain-containing family protein 2
643,1,EBI-1054362,PTBP3,UniProtO95758,protein,Homo sapiens,Polypyrimidine tract-binding protein 3
644,1,EBI-2214136,HMGB3,UniProtO15347,protein,Homo sapiens,High mobility group protein B3
645,1,EBI-1049099,KHSRP,UniProtQ92945,protein,Homo sapiens,Far upstream element-binding protein 2
646,1,EBI-11324775,C11orf98,UniProtE9PRG8,protein,Homo sapiens,Uncharacterized protein C11orf98
647,1,EBI-1776615,EIF2A,UniProtQ9BY44,protein,Homo sapiens,Eukaryotic translation initiation factor 2A
648,1,EBI-353116,RPL30,UniProtP62888,protein,Homo sapiens,Large ribosomal subunit protein eL30
649,1,EBI-494830,H2AX,UniProtP16104,protein,Homo sapiens,Histone H2AX
650,1,EBI-372557,SRSF3,UniProtP84103,protein,Homo sapiens,Serine/arginine-rich splicing factor 3
651,1,EBI-73711,EIF4G1,UniProtQ04637,protein,Homo sapiens,Eukaryotic translation initiation factor 4 gamma 1
652,1,EBI-1758689,HMGN2,UniProtP05204,protein,Homo sapiens,Non-histone chromosomal protein HMG-17
653,1,EBI-742413,COPS4,UniProtQ9BT78,protein,Homo sapiens,COP9 signalosome complex subunit 4
654,1,EBI-373471,UPF1,UniProtQ92900,protein,Homo sapiens,Regulator of nonsense transcripts 1
655,1,EBI-7813901,RPL14,UniProtQ6IPH7,protein,Homo sapiens,Large ribosomal subunit protein eL14
656,1,EBI-358163,H1-4,UniProtP10412,protein,Homo sapiens,Histone H1.4
657,1,EBI-6269510,TMA7,UniProtQ9Y2S6,protein,Homo sapiens,Translation machinery-associated protein 7
658,1,EBI-1052479,H1-3,UniProtP16402,protein,Homo sapiens,Histone H1.3
659,1,EBI-1048805,APEX1,UniProtP27695,protein,Homo sapiens,DNA-(apurinic or apyrimidinic site) endonuclease
660,1,EBI-2608271,TCEA1,UniProtP23193,protein,Homo sapiens,Transcription elongation factor A protein 1
661,1,EBI-372327,LDHA,UniProtP00338,protein,Homo sapiens,L-lactate dehydrogenase A chain
662,1,EBI-725133,LSM12,UniProtQ3MHD2,protein,Homo sapiens,Protein LSM12
663,1,EBI-719024,HNRNPL,UniProtP14866,protein,Homo sapiens,Heterogeneous nuclear ribonucleoprotein L
664,1,EBI-1052566,MZT2B,UniProtQ6NZ67,protein,Homo sapiens,Mitotic-spindle organizing protein 2B
665,1,EBI-1050987,BUB3,UniProtO43684,protein,Homo sapiens,Mitotic checkpoint protein BUB3
666,1,EBI-395189,POLR2E,UniProtP19388,protein,Homo sapiens,DNA-directed RNA polymerases I; II; and III subunit RPABC1
667,1,EBI-724092,HNRNPA0,UniProtQ13151,protein,Homo sapiens,Heterogeneous nuclear ribonucleoprotein A0
668,1,EBI-1024357,SYNCRIP,UniProtO60506,protein,Homo sapiens,Heterogeneous nuclear ribonucleoprotein Q
669,1,EBI-713419,HNRNPR,UniProtO43390,protein,Homo sapiens,Heterogeneous nuclear ribonucleoprotein R
670,1,EBI-1056162,EIF2S1,UniProtP05198,protein,Homo sapiens,Eukaryotic translation initiation factor 2 subunit 1
671,1,EBI-354056,GAPDH,UniProtP04406,protein,Homo sapiens,Glyceraldehyde-3-phosphate dehydrogenase
672,1,EBI-851542,SEPTIN9,UniProtQ9UHD8,protein,Homo sapiens,Septin-9
673,1,EBI-2949699,RBM3,UniProtP98179,protein,Homo sapiens,RNA-binding protein 3
674,1,EBI-707816,FEN1,UniProtP39748,protein,Homo sapiens,Flap endonuclease 1
675,1,EBI-2949703,RPL26L1,UniProtQ9UNX3,protein,Homo sapiens,Ribosomal protein uL24-like
676,1,EBI-2685847,PRRC2C,UniProtQ9Y520,protein,Homo sapiens,Protein PRRC2C
677,1,EBI-538850,CIRBP,UniProtQ14011,protein,Homo sapiens,Cold-inducible RNA-binding protein
678,1,EBI-2255091,TAF15,UniProtQ92804,protein,Homo sapiens,TATA-binding protein-associated factor 2N
679,1,EBI-2509921,LRRC47,UniProtQ8N1G4,protein,Homo sapiens,Leucine-rich repeat-containing protein 47
680,1,EBI-353675,RUVBL1,UniProtQ9Y265,protein,Homo sapiens,RuvB-like 1
681,1,EBI-722092,PBDC1,UniProtQ9BVG4,protein,Homo sapiens,Protein PBDC1
682,1,EBI-1773495,ACTBL2,UniProtQ562R1,protein,Homo sapiens,Beta-actin-like protein 2
683,1,EBI-359088,POTEKP,UniProtQ9BYX7,protein,Homo sapiens,Putative beta-actin-like protein 3
684,1,EBI-351292,ACTG1,UniProtP63261,protein,Homo sapiens,Actin; cytoplasmic 2
685,1,EBI-722193,PSMD14,UniProtO00487,protein,Homo sapiens,26S proteasome non-ATPase regulatory subunit 14
686,1,EBI-352273,ACTC1,UniProtP68032,protein,Homo sapiens,Actin; alpha cardiac muscle 1
687,1,EBI-6150673,POTEF,UniProtA5A3E0,protein,Homo sapiens,POTE ankyrin domain family member F
688,1,EBI-2255116,NAP1L4,UniProtQ99733,protein,Homo sapiens,Nucleosome assembly protein 1-like 4
689,1,EBI-374880,CDC5L,UniProtQ99459,protein,Homo sapiens,Cell division cycle 5-like protein
690,1,EBI-949294,SNX6,UniProtQ9UNH7,protein,Homo sapiens,Sorting nexin-6
691,1,EBI-355586,CAPZA1,UniProtP52907,protein,Homo sapiens,F-actin-capping protein subunit alpha-1
692,1,EBI-355546,PSME3,UniProtP61289,protein,Homo sapiens,Proteasome activator complex subunit 3
693,1,EBI-1047302,CACYBP,UniProtQ9HB71,protein,Homo sapiens,Calcyclin-binding protein
694,1,EBI-352560,EEF2,UniProtP13639,protein,Homo sapiens,Elongation factor 2
695,1,EBI-1048857,TXNL1,UniProtO43396,protein,Homo sapiens,Thioredoxin-like protein 1
696,1,EBI-354967,CLTC,UniProtQ00610,protein,Homo sapiens,Clathrin heavy chain 1
697,1,EBI-1055010,RFC3,UniProtP40938,protein,Homo sapiens,Replication factor C subunit 3
698,1,EBI-717515,ARHGEF7,UniProtQ14155,protein,Homo sapiens,Rho guanine nucleotide exchange factor 7
699,1,EBI-6916503,HSP90AB4P,UniProtQ58FF6,protein,Homo sapiens,Putative heat shock protein HSP 90-beta 4
700,1,EBI-603272,PSMA7,UniProtO14818,protein,Homo sapiens,Proteasome subunit alpha type-7
701,1,EBI-357874,PSMD1,UniProtQ99460,protein,Homo sapiens,26S proteasome non-ATPase regulatory subunit 1
702,1,EBI-349938,KPNA2,UniProtP52292,protein,Homo sapiens,Importin subunit alpha-1
703,1,EBI-725702,PPM1G,UniProtO15355,protein,Homo sapiens,Protein phosphatase 1G
704,1,EBI-2352802,PYM1,UniProtQ9BRP8,protein,Homo sapiens,Partner of Y14 and mago
705,1,EBI-373505,NARS1,UniProtO43776,protein,Homo sapiens,Asparagine--tRNA ligase; cytoplasmic
706,1,EBI-358037,SSB,UniProtP05455,protein,Homo sapiens,Lupus La protein
707,1,EBI-349105,DYNLL1,UniProtP63167,protein,Homo sapiens,Dynein light chain 1; cytoplasmic
708,1,EBI-395746,PRPF19,UniProtQ9UMS4,protein,Homo sapiens,Pre-mRNA-processing factor 19
709,1,EBI-358193,YBX3,UniProtP16989,protein,Homo sapiens,Y-box-binding protein 3
710,1,EBI-6598484,YBX2,UniProtQ9Y2T7,protein,Homo sapiens,Y-box-binding protein 2
711,1,EBI-352547,RCC2,UniProtQ9P258,protein,Homo sapiens,Protein RCC2
712,1,EBI-444308,CDK1,UniProtP06493,protein,Homo sapiens,Cyclin-dependent kinase 1
713,1,EBI-353877,ENO1,UniProtP06733,protein,Homo sapiens,Alpha-enolase
714,1,EBI-352733,CFL1,UniProtP23528,protein,Homo sapiens,Cofilin-1
715,1,EBI-78756,ILF3,UniProtQ12906,protein,Homo sapiens,Interleukin enhancer-binding factor 3
716,1,EBI-603643,FLOT1,UniProtO75955,protein,Homo sapiens,Flotillin-1
717,1,EBI-724571,DNM1L,UniProtO00429,protein,Homo sapiens,Dynamin-1-like protein
718,1,EBI-3385283,FIS1,UniProtQ9Y3D6,protein,Homo sapiens,Mitochondrial fission 1 protein
719,1,EBI-11420856,MFF,UniProtQ9GZY8,protein,Homo sapiens,Mitochondrial fission factor
720,1,EBI-740987,MIEF1,UniProtQ9NQG6,protein,Homo sapiens,Mitochondrial dynamics protein MIEF1
721,1,EBI-750153,MIEF2,UniProtQ96C03,protein,Homo sapiens,Mitochondrial dynamics protein MID49
722,1,EBI-6926270,MAPT,UniProtP10636-7,protein,Homo sapiens,Microtubule-associated protein tau
723,1,EBI-6926280,BIN1,UniProtO00499-1,protein,Homo sapiens,Myc box-dependent-interacting protein 1
724,1,EBI-726731,TMCC2,UniProtO75069,protein,Homo sapiens,Transmembrane and coiled-coil domains protein 2
725,1,EBI-935824,PDCD4,UniProtQ53EL6,protein,Homo sapiens,Programmed cell death protein 4
726,1,EBI-745127,IFIT3,UniProtO14879,protein,Homo sapiens,Interferon-induced protein with tetratricopeptide repeats 3
727,1,EBI-295634,CDC37,UniProtQ16543,protein,Homo sapiens,Hsp90 co-chaperone Cdc37
728,1,EBI-1391623,NOS3,UniProtP29474,protein,Homo sapiens,Nitric oxide synthase 3
729,1,EBI-712452,ECSIT,UniProtQ9BQ95,protein,Homo sapiens,Evolutionarily conserved signaling intermediate in Toll pathway; mitochondrial
730,1,EBI-2010251,PSEN2,UniProtP49810,protein,Homo sapiens,Presenilin-2
731,1,EBI-1236978,GCDH,UniProtQ92947,protein,Homo sapiens,Glutaryl-CoA dehydrogenase; mitochondrial
732,1,EBI-356015,DYNC1H1,UniProtQ14204,protein,Homo sapiens,Cytoplasmic dynein 1 heavy chain 1
733,1,EBI-373586,GSK3B,UniProtP49841,protein,Homo sapiens,Glycogen synthase kinase-3 beta
734,1,EBI-5323863,LRRK2,UniProtQ5S007,protein,Homo sapiens,Leucine-rich repeat serine/threonine-protein kinase 2
735,1,EBI-8313395,Ppid,UniProtQ9CR16,protein,Mus musculus,Peptidyl-prolyl cis-trans isomerase D
736,3,EBI-309031,Prdx3,UniProtP20108,protein,Mus musculus,Thioredoxin-dependent peroxide reductase; mitochondrial
737,3,EBI-5323863,LRRK2,UniProtQ5S007,protein,Homo sapiens,Leucine-rich repeat serine/threonine-protein kinase 2
738,3,EBI-914519,Abl1,UniProtP00520,protein,Mus musculus,Tyrosine-protein kinase ABL1
739,3,EBI-985879,SNCA,UniProtP37840,protein,Homo sapiens,Alpha-synuclein
740,3,EBI-770763,Atp2a2,UniProtO55143,protein,Mus musculus,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
741,3,EBI-351394,DBN1,UniProtQ16643,protein,Homo sapiens,Drebrin
742,3,EBI-696162,PTEN,UniProtP60484,protein,Homo sapiens,Phosphatidylinositol 3;4;5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN
743,3,EBI-4398879,Arfgap1,UniProtQ62848,protein,Rattus norvegicus (Rat),ADP-ribosylation factor GTPase-activating protein 1
744,3,EBI-724571,DNM1L,UniProtO00429,protein,Homo sapiens,Dynamin-1-like protein
745,3,EBI-9029118,Mfn1,UniProtQ811U4,protein,Mus musculus,Mitofusin-1
746,3,EBI-3324756,MFN2,UniProtO95140,protein,Homo sapiens,Mitofusin-2
747,3,EBI-1054131,OPA1,UniProtO60313,protein,Homo sapiens,Dynamin-like 120 kDa protein; mitochondrial
748,3,EBI-2835940,CNR2,UniProtP34972,protein,Homo sapiens,Cannabinoid receptor 2
749,3,EBI-2909859,CNR1,UniProtP21554,protein,Homo sapiens,Cannabinoid receptor 1
750,3,EBI-973138,RANBP2,UniProtP49792,protein,Homo sapiens,E3 SUMO-protein ligase RanBP2
751,3,EBI-716346,PRKN,UniProtO60260,protein,Homo sapiens,E3 ubiquitin-protein ligase parkin
752,3,EBI-712388,RGS2,UniProtP41220,protein,Homo sapiens,Regulator of G-protein signaling 2
753,3,EBI-9254597,ABL1,UniProtP00519-2,protein,Homo sapiens,Tyrosine-protein kinase ABL1
754,3,EBI-2310271,Snca,UniProtO55042,protein,Mus musculus,Alpha-synuclein
755,3,EBI-3909653,GPR3,UniProtP46089,protein,Homo sapiens,G-protein coupled receptor 3
756,3,EBI-286155,App,UniProtP08592,protein,Rattus norvegicus (Rat),Amyloid-beta precursor protein
757,3,EBI-9247455,APBA1,UniProtQ02410-2,protein,Homo sapiens,Amyloid-beta A4 precursor protein-binding family A member 1
758,3,EBI-302641,APP,UniProtP05067-4,protein,Homo sapiens,Amyloid-beta precursor protein
759,3,EBI-714707,GAK,UniProtO14976,protein,Homo sapiens,Cyclin-G-associated kinase
760,3,EBI-372165,RAB29,UniProtO14966,protein,Homo sapiens,Ras-related protein Rab-7L1
761,3,EBI-359843,Ywhag,UniProtP61982,protein,Mus musculus,14-3-3 protein gamma
762,3,EBI-771608,Ywhab,UniProtQ9CQV8,protein,Mus musculus,14-3-3 protein beta/alpha
763,3,EBI-444641,Ywhah,UniProtP68510,protein,Mus musculus,14-3-3 protein eta
764,3,EBI-356480,Ywhae,UniProtP62259,protein,Mus musculus,14-3-3 protein epsilon
765,3,EBI-400675,Ywhaq,UniProtP68254,protein,Mus musculus,14-3-3 protein theta
766,3,EBI-354751,Ywhaz,UniProtP63101,protein,Mus musculus,14-3-3 protein zeta/delta
767,3,EBI-772325,Hspa5,UniProtP20029,protein,Mus musculus,Endoplasmic reticulum chaperone BiP
768,3,EBI-772439,Hsp90b1,UniProtP08113,protein,Mus musculus,Endoplasmin
769,3,EBI-494709,P4hb,UniProtP09103,protein,Mus musculus,Protein disulfide-isomerase
770,3,EBI-11516943,Erlin1,UniProtQ91X78,protein,Mus musculus,Erlin-1
771,3,EBI-8586449,Tmx1,UniProtQ8VBT0,protein,Mus musculus,Thioredoxin-related transmembrane protein 1
772,3,EBI-644340,Calr,UniProtP14211,protein,Mus musculus,Calreticulin
773,3,EBI-1171494,WSB1,UniProtQ9Y6I7,protein,Homo sapiens,WD repeat and SOCS box-containing protein 1
774,3,EBI-366182,MAPT,UniProtP10636,protein,Homo sapiens,Microtubule-associated protein tau
775,3,EBI-77613,APP,UniProtP05067,protein,Homo sapiens,Amyloid-beta precursor protein
776,3,EBI-3862525,ZNF746,UniProtQ6NUN9,protein,Homo sapiens,Zinc finger protein 746
777,3,EBI-3989619,pckcg_human_gene,EnsemblENSG00000124253,gene,Homo sapiens,Phosphoenolpyruvate carboxykinase; cytosolic [GTP] gene
778,3,EBI-3989621,g6pc_human_gene,EnsemblENSG00000131482,gene,Homo sapiens,Glucose-6-phosphatase gene
779,3,EBI-3989363,prgc1_human_gene,EnsemblENSG00000109819.,gene,Homo sapiens,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha gene
780,3,EBI-2907154,LAMP2,UniProtP13473,protein,Homo sapiens,Lysosome-associated membrane glycoprotein 2
781,3,EBI-748336,PRDX3,UniProtP30048,protein,Homo sapiens,Thioredoxin-dependent peroxide reductase; mitochondrial
782,3,EBI-354022,VDAC2,UniProtP45880,protein,Homo sapiens,Voltage-dependent anion-selective channel protein 2
783,3,EBI-351561,SPTBN1,UniProtQ01082,protein,Homo sapiens,Spectrin beta chain; non-erythrocytic 1
784,3,EBI-354158,VDAC1,UniProtP21796,protein,Homo sapiens,Voltage-dependent anion-selective channel protein 1
785,3,EBI-715087,GNAO1,UniProtP09471,protein,Homo sapiens,Guanine nucleotide-binding protein G(o) subunit alpha
786,3,EBI-242141,sgg,UniProtP18431,protein,Drosophila melanogaster (Fruit fly),Protein kinase shaggy
787,3,EBI-297509,IQGAP1,UniProtP46940,protein,Homo sapiens,Ras GTPase-activating-like protein IQGAP1
788,3,EBI-716258,NFATC2,UniProtQ13469,protein,Homo sapiens,Nuclear factor of activated T-cells; cytoplasmic 2
789,3,EBI-302388,PPP2R1A,UniProtP30153,protein,Homo sapiens,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
790,3,EBI-357816,PSMD11,UniProtO00231,protein,Homo sapiens,26S proteasome non-ATPase regulatory subunit 11
791,3,EBI-286693,TNPO1,UniProtQ92973,protein,Homo sapiens,Transportin-1
792,3,EBI-286709,CSE1L,UniProtP55060,protein,Homo sapiens,Exportin-2
793,3,EBI-306940,YWHAH,UniProtQ04917,protein,Homo sapiens,14-3-3 protein eta
794,3,EBI-712367,RABAC1,UniProtQ9UI14,protein,Homo sapiens,Prenylated Rab acceptor protein 1
795,3,EBI-977302,PRNP,UniProtP04156,protein,Homo sapiens,Major prion protein
796,3,EBI-489411,CXCR4,UniProtP61073,protein,Homo sapiens,C-X-C chemokine receptor type 4
797,3,EBI-918187,Dbn1,UniProtQ07266,protein,Rattus norvegicus (Rat),Drebrin
798,3,EBI-8786792,Dbn1,UniProtQ07266-1,protein,Rattus norvegicus (Rat),Drebrin
799,3,EBI-8757328,DBN1,UniProtQ16643-1,protein,Homo sapiens,Drebrin
800,3,EBI-8874177,DBN1,UniProtQ16643-3,protein,Homo sapiens,Drebrin
801,3,EBI-968218,LMNB1,UniProtP20700,protein,Homo sapiens,Lamin-B1
802,3,EBI-2830427,LMNB2,UniProtQ03252,protein,Homo sapiens,Lamin-B2
803,3,EBI-1164361,PARK7,UniProtQ99497,protein,Homo sapiens,Parkinson disease protein 7
804,3,EBI-77321,DAXX,UniProtQ9UER7,protein,Homo sapiens,Death domain-associated protein 6
805,3,EBI-714860,UCHL1,UniProtP09936,protein,Homo sapiens,Ubiquitin carboxyl-terminal hydrolase isozyme L1
806,3,EBI-28997021,cdk1_chlae_protein,IntActEBI-28997021,protein,Chlorocebus aethiops,cdk1_chlae_protein
807,3,EBI-28997023,cdk4_chlae_protein,IntActEBI-28997023,protein,Chlorocebus aethiops,cdk4_chlae_protein
808,3,EBI-28997025,cdk5_chlae_protein,IntActEBI-28997025,protein,Chlorocebus aethiops,cdk5_chlae_protein
809,3,EBI-295644,CDK4,UniProtP11802,protein,Homo sapiens,Cyclin-dependent kinase 4
810,3,EBI-375096,CDK2,UniProtP24941,protein,Homo sapiens,Cyclin-dependent kinase 2
811,3,EBI-375001,CCND1,UniProtP24385,protein,Homo sapiens,G1/S-specific cyclin-D1
812,3,EBI-746189,CDK5R1,UniProtQ15078,protein,Homo sapiens,Cyclin-dependent kinase 5 activator 1
813,3,EBI-1041567,CDK5,UniProtQ00535,protein,Homo sapiens,Cyclin-dependent kinase 5
814,3,EBI-495332,CCNB1,UniProtP14635,protein,Homo sapiens,G2/mitotic-specific cyclin-B1
815,3,EBI-444308,CDK1,UniProtP06493,protein,Homo sapiens,Cyclin-dependent kinase 1
816,3,EBI-375077,CDKN1A,UniProtP38936,protein,Homo sapiens,Cyclin-dependent kinase inhibitor 1
817,3,EBI-519280,CDKN1B,UniProtP46527,protein,Homo sapiens,Cyclin-dependent kinase inhibitor 1B
818,3,EBI-28997029,cdk6_chlae_protein,IntActEBI-28997029,protein,Chlorocebus aethiops,cdk6_chlae_protein
819,3,EBI-8830282,P04156-PRO_0000025675,UniProtP04156-PRO_0000025675,protein,Homo sapiens,Major prion protein
820,3,EBI-8830305,Grm5,UniProtP31424-2,protein,Rattus norvegicus (Rat),Metabotropic glutamate receptor 5
821,3,EBI-8790933,mare3_chlae_protein,IntActEBI-8790933,protein,Chlorocebus aethiops,MARE3_CHLAE
822,3,EBI-1635090,Sod1,UniProtP08228,protein,Mus musculus,Superoxide dismutase [Cu-Zn]
823,3,EBI-375543,ABL1,UniProtP00519,protein,Homo sapiens,Tyrosine-protein kinase ABL1
824,3,EBI-78930,Hsp90aa1,UniProtP07901,protein,Mus musculus,Heat shock protein HSP 90-alpha
825,3,EBI-492813,Hsp90ab1,UniProtP11499,protein,Mus musculus,Heat shock protein HSP 90-beta
826,3,EBI-2906727,Cdc37,UniProtQ61081,protein,Mus musculus,Hsp90 co-chaperone Cdc37
827,3,EBI-6514251,Rab29,UniProtQ91YQ1,protein,Mus musculus,Ras-related protein Rab-7L1
828,3,EBI-775825,Vps35,UniProtQ9EQH3,protein,Mus musculus,Vacuolar protein sorting-associated protein 35
829,3,EBI-771728,Mark2,UniProtQ05512,protein,Mus musculus,Serine/threonine-protein kinase MARK2
830,3,EBI-2933616,Camk2a,UniProtQ80TN1,protein,Mus musculus,calcium/calmodulin-dependent protein kinase
831,3,EBI-644361,Brsk1,UniProtQ5RJI5,protein,Mus musculus,Serine/threonine-protein kinase BRSK1
832,3,EBI-2933567,Csnk1a1,UniProtQ6PJ87,protein,Mus musculus,
833,3,EBI-357187,Ppp1ca,UniProtP62137,protein,Mus musculus,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit
834,3,EBI-2933584,Mark1,UniProtQ8VHJ5,protein,Mus musculus,Serine/threonine-protein kinase MARK1
835,3,EBI-397029,Camk2b,UniProtP28652,protein,Mus musculus,Calcium/calmodulin-dependent protein kinase type II subunit beta
836,3,EBI-2308458,Camk2d,UniProtQ6PHZ2,protein,Mus musculus,Calcium/calmodulin-dependent protein kinase type II subunit delta
837,3,EBI-397872,Ctnnb1,UniProtQ02248,protein,Mus musculus,Catenin beta-1
838,3,EBI-2933676,Ina,UniProtQ3UMG4,protein,Mus musculus,IF rod domain-containing protein
839,3,EBI-400918,Myh10,UniProtQ61879,protein,Mus musculus,Myosin-10
840,3,EBI-400199,Myo5a,UniProtQ99104,protein,Mus musculus,Unconventional myosin-Va
